Date,Open,High,Low,Close,Volume,Adj Close
2008-05-19,14294.52,14343.19,14219.08,14269.61,133800,14269.61
2008-05-16,14363.62,14392.53,14194.91,14219.48,144200,14219.48
2008-05-15,14167.02,14352.84,14167.02,14251.74,160200,14251.74
2008-05-14,13961.96,14121.94,13877.40,14118.55,142400,14118.55
2008-05-13,13814.39,13976.92,13734.50,13953.73,129200,13953.73
